代码,名称,板块类型,板块名称,行业代码,行业名称
605399,,行业分类,申万行业,220316,未知行业
300329,,行业分类,申万行业,360502,医药生物
600800,,行业分类,申万行业,750303,公用事业
300326,,行业分类,申万行业,370503,医药生物
300236,,行业分类,申万行业,270601,未知行业
300192,,行业分类,申万行业,461102,机械设备
300217,,行业分类,申万行业,330601,医药生物
600727,,行业分类,申万行业,220206,未知行业
600809,,行业分类,申万行业,340501,医药生物
300243,,行业分类,申万行业,220501,未知行业
002050,,行业分类,申万行业,330601,医药生物
600721,,行业分类,申万行业,370603,医药生物
688109,,行业分类,申万行业,710401,公用事业
300342,,行业分类,申万行业,330601,医药生物
300305,,行业分类,申万行业,220505,未知行业
605500,,行业分类,申万行业,360102,医药生物
688108,,行业分类,申万行业,370503,医药生物
300244,,行业分类,申万行业,370602,医药生物
300218,,行业分类,申万行业,220501,未知行业
300814,,行业分类,申万行业,270202,未知行业
301041,,行业分类,申万行业,270202,未知行业
300964,,行业分类,申万行业,270202,未知行业
001212,,行业分类,申万行业,610303,化工
300994,,行业分类,申万行业,280401,未知行业
605507,,行业分类,申万行业,370101,医药生物
003020,,行业分类,申万行业,370102,医药生物
600080,,行业分类,申万行业,370201,医药生物
603855,,行业分类,申万行业,640209,化工
688690,,行业分类,申万行业,370101,医药生物
603076,,行业分类,申万行业,640209,化工
688700,,行业分类,申万行业,640209,化工
688071,,行业分类,申万行业,640209,化工
301036,,行业分类,申万行业,220305,未知行业
605167,,行业分类,申万行业,620402,化工
301016,,行业分类,申万行业,640501,化工
301013,,行业分类,申万行业,640209,化工
001207,,行业分类,申万行业,220603,未知行业
301028,,行业分类,申万行业,640106,化工
688239,,行业分类,申万行业,650201,化工
688625,,行业分类,申万行业,220309,未知行业
605011,,行业分类,申万行业,410104,机械设备
301026,,行业分类,申万行业,240504,银行
301023,,行业分类,申万行业,630101,化工
605028,,行业分类,申万行业,410104,机械设备
605020,,行业分类,申万行业,220311,未知行业
688538,,行业分类,申万行业,270301,未知行业
605287,,行业分类,申万行业,620201,化工
301019,,行业分类,申万行业,220501,未知行业
688087,,行业分类,申万行业,220501,未知行业
301003,,行业分类,申万行业,220503,未知行业
688305,,行业分类,申万行业,640101,化工
688789,,行业分类,申万行业,640206,化工
688799,,行业分类,申万行业,370102,医药生物
688117,,行业分类,申万行业,370102,医药生物
001210,,行业分类,申万行业,410104,机械设备
605162,,行业分类,申万行业,410104,机械设备
688367,,行业分类,申万行业,640501,化工
603529,,行业分类,申万行业,280401,未知行业
300995,,行业分类,申万行业,220503,未知行业
300992,,行业分类,申万行业,640106,化工
300855,,行业分类,申万行业,240201,未知行业
000863,,行业分类,申万行业,430101,机械设备
605008,,行业分类,申万行业,220501,未知行业
688065,,行业分类,申万行业,220309,未知行业
002810,,行业分类,申万行业,220309,未知行业
300910,,行业分类,申万行业,220309,未知行业
600352,,行业分类,申万行业,220308,未知行业
688630,,行业分类,申万行业,640209,化工
300748,,行业分类,申万行业,240202,未知行业
002389,,行业分类,申万行业,650201,化工
601606,,行业分类,申万行业,650301,化工
300696,,行业分类,申万行业,650201,化工
688356,,行业分类,申万行业,370101,医药生物
688179,,行业分类,申万行业,220309,未知行业
003025,,行业分类,申万行业,640101,化工
003021,,行业分类,申万行业,630101,化工
688195,,行业分类,申万行业,270303,未知行业
605090,,行业分类,申万行业,410301,机械设备
688383,,行业分类,申万行业,640209,化工
688113,,行业分类,申万行业,640209,化工
605180,,行业分类,申万行业,350106,医药生物
688655,,行业分类,申万行业,270202,未知行业
600906,,行业分类,申万行业,490101,机械设备
688685,,行业分类,申万行业,650201,化工
300990,,行业分类,申万行业,640105,化工
603365,,行业分类,申万行业,350206,医药生物
688633,,行业分类,申万行业,640203,化工
688662,,行业分类,申万行业,270401,未知行业
688659,,行业分类,申万行业,220309,未知行业
002808,,行业分类,申万行业,270303,未知行业
605286,,行业分类,申万行业,640204,化工
688092,,行业分类,申万行业,640209,化工
003041,,行业分类,申万行业,350206,医药生物
300980,,行业分类,申万行业,220501,未知行业
688609,,行业分类,申万行业,330202,医药生物
300960,,行业分类,申万行业,640501,化工
300966,,行业分类,申万行业,370101,医药生物
300963,,行业分类,申万行业,240201,未知行业
300965,,行业分类,申万行业,650201,化工
002293,,行业分类,申万行业,350206,医药生物
002327,,行业分类,申万行业,350206,医药生物
689009,,行业分类,申万行业,280401,未知行业
600195,,行业分类,申万行业,110801,未知行业
300755,,行业分类,申万行业,450401,机械设备
002833,,行业分类,申万行业,640209,化工
688070,,行业分类,申万行业,650201,化工
605298,,行业分类,申万行业,640501,化工
300936,,行业分类,申万行业,270202,未知行业
003038,,行业分类,申万行业,240301,未知行业
300940,,行业分类,申万行业,270302,未知行业
300939,,行业分类,申万行业,270301,未知行业
688183,,行业分类,申万行业,270202,未知行业
003036,,行业分类,申万行业,640206,化工
603489,,行业分类,申万行业,630101,化工
688328,,行业分类,申万行业,640209,化工
688079,,行业分类,申万行业,270303,未知行业
605208,,行业分类,申万行业,240301,未知行业
601375,,行业分类,申万行业,490101,机械设备
601878,,行业分类,申万行业,490101,机械设备
002916,,行业分类,申万行业,270202,未知行业
600621,,行业分类,申万行业,490101,机械设备
300775,,行业分类,申万行业,650201,化工
002945,,行业分类,申万行业,490101,机械设备
601319,,行业分类,申万行业,490201,机械设备
600160,,行业分类,申万行业,220311,未知行业
002926,,行业分类,申万行业,490101,机械设备
601881,,行业分类,申万行业,490101,机械设备
000627,,行业分类,申万行业,490201,机械设备
002938,,行业分类,申万行业,270202,未知行业
002939,,行业分类,申万行业,490101,机械设备
601456,,行业分类,申万行业,490101,机械设备
000895,,行业分类,申万行业,340401,医药生物
600273,,行业分类,申万行业,220309,未知行业
000963,,行业分类,申万行业,370102,医药生物
002670,,行业分类,申万行业,490101,机械设备
601696,,行业分类,申万行业,490101,机械设备
002791,,行业分类,申万行业,610303,化工
601698,,行业分类,申万行业,650101,化工
688009,,行业分类,申万行业,640501,化工
002797,,行业分类,申万行业,490101,机械设备
601952,,行业分类,申万行业,110102,未知行业
600918,,行业分类,申万行业,490101,机械设备
000100,,行业分类,申万行业,270301,未知行业
600095,,行业分类,申万行业,490101,机械设备
603916,,行业分类,申万行业,220309,未知行业
600864,,行业分类,申万行业,490101,机械设备
601211,,行业分类,申万行业,490101,机械设备
688196,,行业分类,申万行业,220309,未知行业
600803,,行业分类,申万行业,410301,机械设备
601066,,行业分类,申万行业,490101,机械设备
688126,,行业分类,申万行业,270103,未知行业
002409,,行业分类,申万行业,270103,未知行业
601995,,行业分类,申万行业,490101,机械设备
601990,,行业分类,申万行业,490101,机械设备
603393,,行业分类,申万行业,410301,机械设备
603520,,行业分类,申万行业,370101,医药生物
600909,,行业分类,申万行业,490101,机械设备
002384,,行业分类,申万行业,270202,未知行业
600521,,行业分类,申万行业,370102,医药生物
601162,,行业分类,申万行业,490101,机械设备
300999,,行业分类,申万行业,110502,未知行业
300558,,行业分类,申万行业,370102,医药生物
688526,,行业分类,申万行业,110801,未知行业
600025,,行业分类,申万行业,410102,机械设备
601236,,行业分类,申万行业,490101,机械设备
601108,,行业分类,申万行业,490101,机械设备
