股东代码,股东名称,股票代码,股票简称,报告期,公告日,数量,流通市值
10529245,国新投资有限公司,600028,中国石化,2024-09-30,2024-10-29,389000000,2705000000
10529245,国新投资有限公司,600021,上海电力,2024-09-30,2024-10-29,11150000,108000000
10529245,国新投资有限公司,000410,沈阳机床,2024-09-30,2024-10-29,74850000,539000000
10529245,国新投资有限公司,300034,钢研高纳,2024-09-30,2024-10-28,34490000,594000000
10529245,国新投资有限公司,601598,中国外运,2024-09-30,2024-10-26,39280000,217000000
10529245,国新投资有限公司,601088,中国神华,2024-09-30,2024-10-26,75280000,3282000000
10529245,国新投资有限公司,600188,兖矿能源,2024-09-30,2024-10-26,53770000,898000000
10529245,国新投资有限公司,300073,当升科技,2024-09-30,2024-10-26,16170000,700000000
10529245,国新投资有限公司,000657,中钨高新,2024-09-30,2024-10-26,68850000,675000000
10529245,国新投资有限公司,601919,中远海控,2024-10-18,2024-10-25,326000000,4635000000
10529245,国新投资有限公司,300797,钢研纳克,2024-09-30,2024-10-25,15360000,196000000
10529245,国新投资有限公司,601898,中煤能源,2024-09-30,2024-10-24,96370000,1421000000
10529245,国新投资有限公司,600941,中国移动,2024-09-30,2024-10-22,16680000,1830000000
10529245,国新投资有限公司,601168,西部矿业,2024-09-30,2024-10-19,26880000,509999999
10529245,国新投资有限公司,600028,中国石化,2024-08-23,2024-09-02,364000000,2481000000
10529245,国新投资有限公司,601088,中国神华,2024-06-30,2024-08-31,75280000,3340000000
10529245,国新投资有限公司,600378,昊华科技,2024-06-30,2024-08-31,46800000,1353000000
10529245,国新投资有限公司,600188,兖矿能源,2024-06-30,2024-08-31,101000000,2285000000
10529245,国新投资有限公司,600058,五矿发展,2024-06-30,2024-08-31,33580000,222000000
10529245,国新投资有限公司,600039,四川路桥,2024-06-30,2024-08-31,56490000,446000000
10529245,国新投资有限公司,000410,沈阳机床,2024-06-30,2024-08-31,85990000,524000000
